Scholion,GlossText,CommentsOn,GlossType
urn:cts:greekLit:tlg5026.msAil.hmt:18.1,"οτὅτι ὥσπερ",urn:cts:greekLit:tlg0012.tlg001.msA:18.1@Ὡς,
urn:cts:greekLit:tlg5026.msAil.hmt:18.2,"θείω καλῷ ",urn:cts:greekLit:tlg0012.tlg001.msA:18.25@νεκταρέῳ,
urn:cts:greekLit:tlg5026.msAil.hmt:18.3,"ουτοὕτωΖηνοδΖηνόδοτος⁑",urn:cts:greekLit:tlg0012.tlg001.msA:18.34@ἀποτμήξειε,
urn:cts:greekLit:tlg5026.msAil.hmt:18.4,"λαμπρον",urn:cts:greekLit:tlg0012.tlg001.msA:18.50@ἀργύφεον,
urn:cts:greekLit:tlg5026.msAil.hmt:18.5,"ἐπιθυμία:",urn:cts:greekLit:tlg0012.tlg001.msA:18.80@ἦδος,
urn:cts:greekLit:tlg5026.msAil.hmt:18.6,"εω",urn:cts:greekLit:tlg0012.tlg001.msA:18.100@ἄρῆς,
urn:cts:greekLit:tlg5026.msAil.hmt:18.7,"άπωθεν τοῦ τείχους",urn:cts:greekLit:tlg0012.tlg001.msA:18.215@τείχεος,
urn:cts:greekLit:tlg5026.msAil.hmt:18.8,"επεστρέφετἐπεστρέφετο",urn:cts:greekLit:tlg0012.tlg001.msA:18.216@ὠπίζετ',
urn:cts:greekLit:tlg5026.msAil.hmt:18.9,"ὑπάρχομεν",urn:cts:greekLit:tlg0012.tlg001.msA:18.256@εἰμεν,
urn:cts:greekLit:tlg5026.msAil.hmt:18.10,"ἐπαυλιζόμεἐπαυλιζόμενος",urn:cts:greekLit:tlg0012.tlg001.msA:18.259@ἰ̈αύων,
urn:cts:greekLit:tlg5026.msAil.hmt:18.11,"φροντίζοντες",urn:cts:greekLit:tlg0012.tlg001.msA:18.273@κηδόμενοί,
urn:cts:greekLit:tlg5026.msAil.hmt:18.12,"συγκατεθεντοι",urn:cts:greekLit:tlg0012.tlg001.msA:18.312@ἐπῄνησαν,
urn:cts:greekLit:tlg5026.msAil.hmt:18.13,"κοινηγὸς",urn:cts:greekLit:tlg0012.tlg001.msA:18.319@ἐλαφηβόλος,
urn:cts:greekLit:tlg5026.msAil.hmt:18.14,"μετα καμάτου ἐκτησάμεθα:",urn:cts:greekLit:tlg0012.tlg001.msA:18.341@καμόμεσθα,
urn:cts:greekLit:tlg5026.msAil.hmt:18.15,"λιπαρας",urn:cts:greekLit:tlg0012.tlg001.msA:18.342@πιείρᾱς,
urn:cts:greekLit:tlg5026.msAil.hmt:18.16,"περιεῖπεν",urn:cts:greekLit:tlg0012.tlg001.msA:18.348@πῦρ,
urn:cts:greekLit:tlg5026.msAil.hmt:18.17,"τροχοὺς",urn:cts:greekLit:tlg0012.tlg001.msA:18.375@κύκλα,
urn:cts:greekLit:tlg5026.msAil.hmt:18.18,"τῷ ὑποκάτω μέρει τῆς βάσεως ⁑",urn:cts:greekLit:tlg0012.tlg001.msA:18.375@πυθμένι,
urn:cts:greekLit:tlg5026.msAil.hmt:18.19,"συνεχῶς παραγίνη",urn:cts:greekLit:tlg0012.tlg001.msA:18.386@θαμίζεις,
urn:cts:greekLit:tlg5026.msAil.hmt:18.20,"τέρας",urn:cts:greekLit:tlg0012.tlg001.msA:18.410@πέλωρ,
