Text,Image,Folio
urn:cts:greekLit:tlg5026.msAint.hmt:18.1,"urn:cite:hmt:vaimg.VA239RN-0410@0.136,0.3967,0.067,0.0383",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msAint.hmt:18.2,"urn:cite:hmt:vaimg.VA239RN-0410@0.132,0.4358,0.068,0.027",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msAint.hmt:18.3,"urn:cite:hmt:vaimg.VA239RN-0410@0.115,0.6243,0.071,0.0556",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msAint.hmt:18.4,"urn:cite:hmt:vaimg.VA239VN-0741@0.871,0.2562,0.048,0.0323",urn:cite:hmt:msA.239v
urn:cts:greekLit:tlg5026.msAint.hmt:18.5,"urn:cite:hmt:vaimg.VA239VN-0741@0.888,0.3501,0.036,0.0481",urn:cite:hmt:msA.239v
urn:cts:greekLit:tlg5026.msAint.hmt:18.6,"urn:cite:hmt:vaimg.VA240RN-0411@0.14,0.2427,0.058,0.0195",urn:cite:hmt:msA.240r
urn:cts:greekLit:tlg5026.msAint.hmt:18.7,"urn:cite:hmt:vaimg.VA240VN-0742@0.896,0.3734,0.051,0.0255",urn:cite:hmt:msA.240v
urn:cts:greekLit:tlg5026.msAint.hmt:18.8,"urn:cite:hmt:vaimg.VA240VN-0742@0.906,0.5357,0.037,0.0368",urn:cite:hmt:msA.240v
urn:cts:greekLit:tlg5026.msAint.hmt:18.9,"urn:cite:hmt:vaimg.VA241RN-0412@0.14,0.2186,0.063,0.0195",urn:cite:hmt:msA.241r
urn:cts:greekLit:tlg5026.msAint.hmt:18.10,"urn:cite:hmt:vaimg.VA241RN-0412@0.135,0.2562,0.073,0.0518",urn:cite:hmt:msA.241r
urn:cts:greekLit:tlg5026.msAint.hmt:18.11,"urn:cite:hmt:vaimg.VA241RN-0412@0.135,0.6544,0.064,0.0346",urn:cite:hmt:msA.241r
urn:cts:greekLit:tlg5026.msAint.hmt:18.12,"urn:cite:hmt:vaimg.VA241VN-0743@0.857,0.2878,0.084,0.027",urn:cite:hmt:msA.241v
urn:cts:greekLit:tlg5026.msAint.hmt:18.13,"urn:cite:hmt:vaimg.VA242RN-0413@0.147,0.1908,0.056,0.0301",urn:cite:hmt:msA.242r
urn:cts:greekLit:tlg5026.msAint.hmt:18.14,"urn:cite:hmt:vaimg.VA242RN-0413@0.134,0.5214,0.061,0.0233",urn:cite:hmt:msA.242r
urn:cts:greekLit:tlg5026.msAint.hmt:18.15,"urn:cite:hmt:vaimg.VA242RN-0413@0.138,0.58,0.055,0.0301",urn:cite:hmt:msA.242r
urn:cts:greekLit:tlg5026.msAint.hmt:18.16,"urn:cite:hmt:vaimg.VA242RN-0413@0.143,0.6514,0.145,0.0406",urn:cite:hmt:msA.242r
urn:cts:greekLit:tlg5026.msAint.hmt:18.17,"urn:cite:hmt:vaimg.VA242VN-0744@0.901,0.589,0.039,0.0526",urn:cite:hmt:msA.242v
urn:cts:greekLit:tlg5026.msAint.hmt:18.18,"urn:cite:hmt:vaimg.VA243RN-0414@0.134,0.3118,0.067,0.0225",urn:cite:hmt:msA.243r
urn:cts:greekLit:tlg5026.msAint.hmt:18.19,"urn:cite:hmt:vaimg.VA243RN-0414@0.134,0.3321,0.068,0.0473",urn:cite:hmt:msA.243r
urn:cts:greekLit:tlg5026.msAint.hmt:18.20,"urn:cite:hmt:vaimg.VA243RN-0414@0.124,0.5665,0.061,0.0398",urn:cite:hmt:msA.243r
urn:cts:greekLit:tlg5026.msAint.hmt:18.21,"urn:cite:hmt:vaimg.VA243RN-0414@0.128,0.6018,0.063,0.0579",urn:cite:hmt:msA.243r
urn:cts:greekLit:tlg5026.msAint.hmt:18.22,"urn:cite:hmt:vaimg.VA243VN-0745@0.876,0.5349,0.055,0.0421",urn:cite:hmt:msA.243v
urn:cts:greekLit:tlg5026.msAint.hmt:18.23,"urn:cite:hmt:vaimg.VA244RN-0415@0.129,0.2847,0.068,0.0661",urn:cite:hmt:msA.244r
urn:cts:greekLit:tlg5026.msAint.hmt:18.24,"urn:cite:hmt:vaimg.VA244RN-0415@0.132,0.3839,0.067,0.0496",urn:cite:hmt:msA.244r
urn:cts:greekLit:tlg5026.msAint.hmt:18.25,"urn:cite:hmt:vaimg.VA244RN-0415@0.125,0.4508,0.07,0.0616",urn:cite:hmt:msA.244r
