Text,Image,Folio
urn:cts:greekLit:tlg5026.msAil.hmt:18.1,"urn:cite:hmt:vaimg.VA239RN-0410@0.208,0.1983,0.032,0.0098",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msAil.hmt:18.2,"urn:cite:hmt:vaimg.VA239RN-0410@0.22,0.6582,0.058,0.0098",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msAil.hmt:18.3,"urn:cite:hmt:vaimg.VA239VN-0741@0.728,0.3719,0.058,0.0135",urn:cite:hmt:msA.239v
urn:cts:greekLit:tlg5026.msAil.hmt:18.4,"urn:cite:hmt:vaimg.VA239VN-0741@0.611,0.6724,0.041,0.0105",urn:cite:hmt:msA.239v
urn:cts:greekLit:tlg5026.msAil.hmt:18.5,"urn:cite:hmt:vaimg.VA240VN-0742@0.671,0.2975,0.048,0.0113",urn:cite:hmt:msA.240v
urn:cts:greekLit:tlg5026.msAil.hmt:18.6,"urn:cite:hmt:vaimg.VA240VN-0742@0.728,0.6724,0.018,0.0068",urn:cite:hmt:msA.240v
urn:cts:greekLit:tlg5026.msAil.hmt:18.7,"urn:cite:hmt:vaimg.VA243RN-0414@0.437,0.4207,0.073,0.018",urn:cite:hmt:msA.243r
urn:cts:greekLit:tlg5026.msAil.hmt:18.8,"urn:cite:hmt:vaimg.VA243RN-0414@0.476,0.4418,0.067,0.018",urn:cite:hmt:msA.243r
urn:cts:greekLit:tlg5026.msAil.hmt:18.9,"urn:cite:hmt:vaimg.VA244RN-0415@0.576,0.2502,0.047,0.0203",urn:cite:hmt:msA:244r
urn:cts:greekLit:tlg5026.msAil.hmt:18.10,"urn:cite:hmt:vaimg.VA244RN-0415@0.567,0.3178,0.086,0.0158",urn:cite:hmt:msA.244r
urn:cts:greekLit:tlg5026.msAil.hmt:18.11,"urn:cite:hmt:vaimg.VA244RN-0415@0.509,0.5808,0.073,0.0128",urn:cite:hmt:msA.244r
urn:cts:greekLit:tlg5026.msAil.hmt:18.12,"urn:cite:hmt:vaimg.VA245RN-0416@0.391,0.3809,0.093,0.0165",urn:cite:hmt:msA.245r
urn:cts:greekLit:tlg5026.msAil.hmt:18.13,"urn:cite:hmt:vaimg.VA245RN-0416@0.448,0.5101,0.063,0.0218",urn:cite:hmt:msA.245r
urn:cts:greekLit:tlg5026.msAil.hmt:18.14,"urn:cite:hmt:vaimg.VA245VN-0747@0.605,0.4703,0.121,0.0158",urn:cite:hmt:msA.245v
urn:cts:greekLit:tlg5026.msAil.hmt:18.15,"urn:cite:hmt:vaimg.VA245VN-0747@0.515,0.4936,0.039,0.0105",urn:cite:hmt:msA.245v
urn:cts:greekLit:tlg5026.msAil.hmt:18.16,"urn:cite:hmt:vaimg.VA245VN-0747@0.716,0.5995,0.042,0.0128",urn:cite:hmt:msA.245v
urn:cts:greekLit:tlg5026.msAil.hmt:18.17,"urn:cite:hmt:vaimg.VA246RN-0417@0.363,0.6258,0.047,0.012",urn:cite:hmt:msA.246r
urn:cts:greekLit:tlg5026.msAil.hmt:18.18,"urn:cite:hmt:vaimg.VA246RN-0417@0.494,0.6236,0.116,0.0165",urn:cite:hmt:msA.246r
urn:cts:greekLit:tlg5026.msAil.hmt:18.19,"urn:cite:hmt:vaimg.VA246VN-0748@0.815,0.3599,0.081,0.0158",urn:cite:hmt:msA.246v
urn:cts:greekLit:tlg5026.msAil.hmt:18.20,"urn:cite:hmt:vaimg.VA247RN-0418@0.41,0.3261,0.052,0.0173",urn:cite:hmt:msA.247r
urn:cts:greekLit:tlg5026.msAil.hmt:18.21,"urn:cite:hmt:vaimg.VA247VN-0749@0.694,0.568,0.065,0.0113",urn:cite:hmt:msA.247v
urn:cts:greekLit:tlg5026.msAil.hmt:18.22,"urn:cite:hmt:vaimg.VA248VN-0750@0.587,0.3922,0.042,0.015",urn:cite:hmt:msA.248v
urn:cts:greekLit:tlg5026.msAil.hmt:18.23,"urn:cite:hmt:vaimg.VA248VN-0750@0.886,0.5635,0.058,0.0165",urn:cite:hmt:msA.248v
urn:cts:greekLit:tlg5026.msAil.hmt:18.24,"urn:cite:hmt:vaimg.VA248VN-0750@0.776,0.6176,0.091,0.015",urn:cite:hmt:msA.248v
urn:cts:greekLit:tlg5026.msAil.hmt:18.25,"urn:cite:hmt:vaimg.VA248VN-0750@0.734,0.6364,0.053,0.015",urn:cite:hmt:msA.248v
urn:cts:greekLit:tlg5026.msAil.hmt:18.26,"urn:cite:hmt:vaimg.VA249RN-0420@0.604,0.3434,0.013,0.0113",urn:cite:hmt:msA.249r
urn:cts:greekLit:tlg5026.msAil.hmt:18.27,"urn:cite:hmt:vaimg.VA249RN-0420@0.604,0.3434,0.013,0.0113",urn:cite:hmt:msA.249r
urn:cts:greekLit:tlg5026.msAil.hmt:18.28,"urn:cite:hmt:vaimg.VA249RN-0420@0.377,0.5086,0.043,0.0128",urn:cite:hmt:msA.249r
urn:cts:greekLit:tlg5026.msAil.hmt:18.29,"urn:cite:hmt:vaimg.VA249RN-0420@0.55,0.5124,0.067,0.009",urn:cite:hmt:msA.249r
urn:cts:greekLit:tlg5026.msAil.hmt:18.30,"urn:cite:hmt:vaimg.VA249VN-0751@0.814,0.417,0.01,0.0075",urn:cite:hmt:msA.249v
urn:cts:greekLit:tlg5026.msAil.hmt:18.31,"urn:cite:hmt:vaimg.VA249VN-0751@0.61,0.4508,0.081,0.0128",urn:cite:hmt:msA.249v
urn:cts:greekLit:tlg5026.msAil.hmt:18.32,"urn:cite:hmt:vaimg.VA249VN-0751@0.795,0.6371,0.038,0.012",urn:cite:hmt:msA.249v
urn:cts:greekLit:tlg5026.msAil.hmt:18.33,"urn:cite:hmt:vaimg.VA249VN-0751@0.773,0.6544,0.049,0.0135",urn:cite:hmt:msA.249v
urn:cts:greekLit:tlg5026.msAil.hmt:18.34,"urn:cite:hmt:vaimg.VA250RN-0421@0.315,0.5274,0.044,0.0158",urn:cite:hmt:msA.250r
urn:cts:greekLit:tlg5026.msAil.hmt:18.35,"urn:cite:hmt:vaimg.VA250RN-0421@0.571,0.6018,0.054,0.0158",urn:cite:hmt:msA.250r
