Text,Image,Folio
urn:cts:greekLit:tlg5026.msAim.hmt:18.1,"urn:cite:hmt:vaimg.VA239RN-0410@0.596,0.3246,0.038,0.0255",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msAim.hmt:18.2,"urn:cite:hmt:vaimg.VA239RN-0410@0.599,0.4538,0.034,0.0233",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msAim.hmt:18.3,"urn:cite:hmt:vaimg.VA239VN-0741@0.426,0.266,0.071,0.0293",urn:cite:hmt:msA.239v
urn:cts:greekLit:tlg5026.msAim.hmt:18.4,"urn:cite:hmt:vaimg.VA239VN-0741@0.437,0.3817,0.052,0.0331",urn:cite:hmt:msA.239v
urn:cts:greekLit:tlg5026.msAim.hmt:18.5,"urn:cite:hmt:vaimg.VA239VN-0741@0.434,0.4643,0.062,0.0278",urn:cite:hmt:msA.239v
urn:cts:greekLit:tlg5026.msAim.hmt:18.6,"urn:cite:hmt:vaimg.VA240RN-0411@0.553,0.2374,0.084,0.0218",urn:cite:hmt:msA.240r
urn:cts:greekLit:tlg5026.msAim.hmt:18.7,"urn:cite:hmt:vaimg.VA240RN-0411@0.58,0.5192,0.055,0.0248",urn:cite:hmt:msA.240r
urn:cts:greekLit:tlg5026.msAim.hmt:18.8,"urn:cite:hmt:vaimg.VA240VN-0742@0.428,0.3426,0.066,0.0518",urn:cite:hmt:msA.240v
urn:cts:greekLit:tlg5026.msAim.hmt:18.9,"urn:cite:hmt:vaimg.VA240VN-0742@0.433,0.4147,0.057,0.0368",urn:cite:hmt:msA.240v
urn:cts:greekLit:tlg5026.msAim.hmt:18.10,"urn:cite:hmt:vaimg.VA240VN-0742@0.444,0.4929,0.044,0.0406",urn:cite:hmt:msA.240v
urn:cts:greekLit:tlg5026.msAim.hmt:18.11,"urn:cite:hmt:vaimg.VA240VN-0742@0.436,0.568,0.056,0.0398",urn:cite:hmt:msA.240v
urn:cts:greekLit:tlg5026.msAim.hmt:18.12,"urn:cite:hmt:vaimg.VA240VN-0742@0.448,0.6551,0.113,0.0105",urn:cite:hmt:msA.240v
urn:cts:greekLit:tlg5026.msAim.hmt:18.13,"urn:cite:hmt:vaimg.VA240VN-0742@0.439,0.6814,0.049,0.0218",urn:cite:hmt:msA.240v
urn:cts:greekLit:tlg5026.msAim.hmt:18.14,"urn:cite:hmt:vaimg.VA241RN-0412@0.607,0.2427,0.089,0.0248",urn:cite:hmt:msA.241r
urn:cts:greekLit:tlg5026.msAim.hmt:18.15,"urn:cite:hmt:vaimg.VA241RN-0412@0.55,0.5049,0.076,0.0293",urn:cite:hmt:msA.241r
urn:cts:greekLit:tlg5026.msAim.hmt:18.16,"urn:cite:hmt:vaimg.VA241RN-0412@0.596,0.6304,0.036,0.0368",urn:cite:hmt:msA.241r
