Text,Image,Folio
urn:cts:greekLit:tlg5026.msA.hmt:18.1,"urn:cite:hmt:vaimg.VA239RN-0410@0.188,0.0992,0.538,0.027",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msA.hmt:18.2,"urn:cite:hmt:vaimg.VA239RN-0410@0.167,0.1007,0.662,0.0398",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msA.hmt:18.3,"urn:cite:hmt:vaimg.VA239RN-0410@0.163,0.127,0.662,0.0368",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msA.hmt:18.4,"urn:cite:hmt:vaimg.VA239RN-0410@0.164,0.1465,0.662,0.0323",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msA.hmt:18.5,"urn:cite:hmt:vaimg.VA239RN-0410@0.171,0.16,0.662,0.0323",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msA.hmt:18.6,"urn:cite:hmt:vaimg.VA239RN-0410@0.198,0.1811,0.637,0.0518",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msA.hmt:18.7,"urn:cite:hmt:vaimg.VA239RN-0410@0.614,0.2261,0.244,0.1225",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msA.hmt:18.8,"urn:cite:hmt:vaimg.VA239RN-0410@0.598,0.3426,0.244,0.2374",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msA.hmt:18.9,"urn:cite:hmt:vaimg.VA239RN-0410@0.624,0.5627,0.196,0.0834",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msA.hmt:18.10,"urn:cite:hmt:vaimg.VA239RN-0410@0.636,0.6364,0.18,0.0571",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msA.hmt:18.11,"urn:cite:hmt:vaimg.VA239RN-0410@0.166,0.6747,0.662,0.0473",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msA.hmt:18.12,"urn:cite:hmt:vaimg.VA239RN-0410@0.175,0.6957,0.662,0.0376",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msA.hmt:18.13,"urn:cite:hmt:vaimg.VA239RN-0410@0.324,0.7145,0.443,0.0225",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msA.hmt:18.14,"urn:cite:hmt:vaimg.VA239RN-0410@0.176,0.7273,0.648,0.0361",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msA.hmt:18.15,"urn:cite:hmt:vaimg.VA239RN-0410@0.176,0.7423,0.648,0.0346",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msA.hmt:18.16,"urn:cite:hmt:vaimg.VA239RN-0410@0.174,0.7566,0.648,0.1014",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msA.hmt:18.17,"urn:cite:hmt:vaimg.VA239RN-0410@0.17,0.846,0.648,0.0338",urn:cite:hmt:msA.239r
urn:cts:greekLit:tlg5026.msA.hmt:18.18,"urn:cite:hmt:vaimg.VA239VN-0741@0.22,0.118,0.446,0.0195",urn:cite:hmt:msA.239v
urn:cts:greekLit:tlg5026.msA.hmt:18.19,"urn:cite:hmt:vaimg.VA239VN-0741@0.226,0.3794,0.218,0.0428",urn:cite:hmt:msA.239v
urn:cts:greekLit:tlg5026.msA.hmt:18.20,"urn:cite:hmt:vaimg.VA239VN-0741@0.233,0.408,0.21,0.0488",urn:cite:hmt:msA.239v
urn:cts:greekLit:tlg5026.msA.hmt:18.21,"urn:cite:hmt:vaimg.VA239VN-0741@0.233,0.408,0.21,0.0488",urn:cite:hmt:msA.239v
urn:cts:greekLit:tlg5026.msA.hmt:18.22,"urn:cite:hmt:vaimg.VA239VN-0741@0.227,0.4523,0.22,0.1683",urn:cite:hmt:msA.239v
urn:cts:greekLit:tlg5026.msA.hmt:18.23,"urn:cite:hmt:vaimg.VA239VN-0741@0.237,0.6161,0.204,0.0894",urn:cite:hmt:msA.239v
urn:cts:greekLit:tlg5026.msA.hmt:18.24,"urn:cite:hmt:vaimg.VA239VN-0741@0.233,0.6972,0.287,0.0421",urn:cite:hmt:msA.239v
