Slur,Reading,Image
urn:cite:hmt:venAslur.18-1,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:18.54@δυσαριστοτόκεια,"urn:cite:hmt:vaimg.VA240RN-0411@0.401,0.2637,0.18,0.027"
urn:cite:hmt:venAslur.18-2,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:18.106@ἀμείνονές,"urn:cite:hmt:vaimg.VA241RN-0412@0.39,0.2945,0.128,0.0263"
urn:cite:hmt:venAslur.18-3,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:18.106@κορυθαιόλος,"urn:cite:hmt:vaimg.VA241VN-0743@0.772,0.3088,0.108,0.024"
urn:cite:hmt:venAslur.18-4,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:18.319@ἐλαφηβόλος,"urn:cite:hmt:vaimg.VA245RN-0416@0.408,0.5147,0.113,0.0263"
urn:cite:hmt:venAslur.18-5,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:18.346@λοετροχόον,"urn:cite:hmt:vaimg.VA245VN-0747@0.547,0.571,0.118,0.0278"
urn:cite:hmt:venAslur.18-6,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:18.382@λιπαροκρήδεμνος,"urn:cite:hmt:vaimg.VA246VN-0748@0.735,0.2885,0.168,0.0203"
urn:cite:hmt:venAslur.18-7,urn:cts:greekLit:tlg5026.msA.hmt:18.188@δηλονότι,"urn:cite:hmt:vaimg.VA249RN-0420@0.357,0.716,0.069,0.0233"
urn:cite:hmt:venAslur.18-8,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:18.532@ἀερσιπόδων,"urn:cite:hmt:vaimg.VA249VN-0751@0.562,0.2637,0.106,0.0248"
urn:cite:hmt:venAslur.18-9,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:18.553@ἀμαλλοδετῆρες,"urn:cite:hmt:vaimg.VA249VN-0751@0.565,0.6551,0.129,0.027"
urn:cite:hmt:venAslur.18-10,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:18.554@ἀμαλλοδετῆρες,"urn:cite:hmt:vaimg.VA249VN-0751@0.593,0.6784,0.124,0.0255"
urn:cite:hmt:venAslur.18-11,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:18.584@ἐνδίεσαν,"urn:cite:hmt:vaimg.VA250VN-0752@0.567,0.3073,0.098,0.0255"
urn:cite:hmt:venAslur.18-12,urn:cts:greekLit:tlg0012.tlg001.msA.hmt:18.593@ἀλφεσίβοιαι,"urn:cite:hmt:vaimg.VA250VN-0752@0.789,0.4748,0.122,0.027"
