Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:18.1,"urn:cite:hmt:vaimg.VA239RN-0410@0.102,0.1803,0.521,0.0766"
urn:cts:greekLit:tlg0012.tlg001.msA:18.2,"urn:cite:hmt:vaimg.VA239RN-0410@0.206,0.2216,0.427,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:18.3,"urn:cite:hmt:vaimg.VA239RN-0410@0.206,0.2427,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.4,"urn:cite:hmt:vaimg.VA239RN-0410@0.209,0.2637,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.5,"urn:cite:hmt:vaimg.VA239RN-0410@0.208,0.2832,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.6,"urn:cite:hmt:vaimg.VA239RN-0410@0.207,0.3005,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.7,"urn:cite:hmt:vaimg.VA239RN-0410@0.201,0.3193,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.8,"urn:cite:hmt:vaimg.VA239RN-0410@0.201,0.3358,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.9,"urn:cite:hmt:vaimg.VA239RN-0410@0.199,0.3554,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.10,"urn:cite:hmt:vaimg.VA239RN-0410@0.198,0.3742,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.11,"urn:cite:hmt:vaimg.VA239RN-0410@0.197,0.3937,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.12,"urn:cite:hmt:vaimg.VA239RN-0410@0.197,0.4125,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.13,"urn:cite:hmt:vaimg.VA239RN-0410@0.197,0.4335,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.14,"urn:cite:hmt:vaimg.VA239RN-0410@0.197,0.45,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.15,"urn:cite:hmt:vaimg.VA239RN-0410@0.204,0.4703,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.16,"urn:cite:hmt:vaimg.VA239RN-0410@0.2,0.4899,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.17,"urn:cite:hmt:vaimg.VA239RN-0410@0.197,0.5079,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.18,"urn:cite:hmt:vaimg.VA239RN-0410@0.194,0.5274,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.19,"urn:cite:hmt:vaimg.VA239RN-0410@0.191,0.5462,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.20,"urn:cite:hmt:vaimg.VA239RN-0410@0.2,0.5665,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.21,"urn:cite:hmt:vaimg.VA239RN-0410@0.201,0.5845,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.22,"urn:cite:hmt:vaimg.VA239RN-0410@0.2,0.6063,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.23,"urn:cite:hmt:vaimg.VA239RN-0410@0.196,0.6243,0.427,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.24,"urn:cite:hmt:vaimg.VA239RN-0410@0.184,0.6424,0.45,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:18.25,"urn:cite:hmt:vaimg.VA239RN-0410@0.184,0.6612,0.45,0.0376"
