ref,sign,multiform,alexandrian
urn:cts:greekLit:tlg0012.tlg001.msA:18.1,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.2,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.3,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.4,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.5,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.6,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.7,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.8,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.9,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.10,>,f,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.11,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.12,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.13,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.14,none,f,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.15,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.16,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.17,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.18,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.19,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.20,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.21,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.22,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.23,>,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.24,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.25,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.26,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.27,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.28,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.29,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.30,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.31,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.32,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.33,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.34,>,t,t
urn:cts:greekLit:tlg0012.tlg001.msA:18.35,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.36,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.37,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.38,none,f,f
urn:cts:greekLit:tlg0012.tlg001.msA:18.39,—,f,f
